type,title,original_title,year,tvdb_id,tmdb_id,favorite,list_status,added_at,for_later_at,stopped_watching_at,hidden_at
movie,Spider-Man: Homecoming,Spider-Man: Homecoming,2017,,315635,no,following,2019-08-18T02:10:06.000Z,,,
movie,Aquaman,Aquaman,2018,,297802,no,following,2019-08-18T02:10:05.000Z,,,
show,Vinland Saga,ヴィンランド・サガ,2019,359274,88803,no,watching,2019-07-28T23:48:35.000Z,,,
show,Comicstaan,Comicstaan,2014,349541,80813,no,stopped,2019-07-28T16:59:50.000Z,,2019-07-28T16:59:50.000Z,
show,Dr. STONE,Dr.STONE,2019,355774,86031,no,watching,2019-07-28T11:43:50.000Z,,,
show,Arifureta: From Commonplace to World's Strongest,ありふれた職業で世界最強,2019,357019,86034,no,watching,2019-07-26T22:52:51.000Z,,,
show,Is It Wrong to Try to Pick Up Girls in a Dungeon?,ダンジョンに出会いを求めるのは間違っているだろうか,2015,289882,62745,no,watching,2019-07-26T22:51:48.000Z,,,
show,Hunter x Hunter (2011),ハンター×ハンター,2011,252322,46298,no,watching,2019-07-25T18:39:41.000Z,,,
show,Sacred Games,सेक्रेड गेम्स,2018,343435,79352,no,watching,2019-06-22T21:30:42.000Z,,,
show,The Umbrella Academy,The Umbrella Academy,2019,353764,75006,no,watching,2019-06-15T20:02:35.000Z,,,
show,Chernobyl,Chernobyl,2019,360893,87108,no,watching,2019-06-01T09:08:16.000Z,,,
show,TVF Tripling,TVF Tripling,2021,316196,69710,no,stopped,2019-05-25T13:57:08.000Z,,2019-05-25T13:57:08.000Z,
show,The Future Diary,未来日記,2011,249827,46671,no,watching,2019-05-23T10:49:34.000Z,,,
show,KonoSuba – God’s blessing on this wonderful world!!,この素晴らしい世界に祝福を！,2016,303867,65844,no,watching,2019-05-14T04:58:38.000Z,,,
show,Castlevania,Castlevania,2017,329065,71024,no,watching,2019-05-04T22:30:47.000Z,,,
show,Assassination Classroom,暗殺教室,2015,283947,62110,no,watching,2019-05-03T21:40:00.000Z,,,
show,Wise Man's Grandchild,賢者の孫,2019,354602,85844,no,watching,2019-04-27T16:16:20.000Z,,,
show,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,2019,348545,85937,no,watching,2019-04-12T15:50:36.000Z,,,
